session,ID,occasion,trap
1,CV11,1,N3n7
1,CV10,1,N5n6
1,CV06,1,N0n6
1,CV06,1,N0n5d
1,CV02,1,N2n4a
1,CV13,2,N4n5d
1,CV13,2,N4n5d
1,CV05,2,N1n3d
1,CV13,2,N4n5b
1,CV13,2,N4n4
1,CV13,2,N4n5a
1,CV02,2,N0n5
1,CV05,2,N2n4a
1,CV06,2,N0n6
1,CV06,3,N0n5
1,CV05,3,N0n2e
1,CV13,3,N3n5
1,CV06,3,N0n2c
1,CV09,3,N5n7
1,CV17,3,N5n7
1,CV18,3,N5n7
1,CV09,3,N4n7
1,CV09,3,N5n7
1,CV18,3,N5n7
1,CV17,3,N5n7
1,CV06,3,N0n5d
1,CV10,4,N4n4
1,CV06,4,N0n5
1,CV09,4,N5n7
1,CV18,4,N5n7
1,CV02,4,N0n2c
1,CV17,4,N5n7
1,CV02,4,N0n5
1,CV18,4,N5n7
1,CV17,4,N5n7
1,CV05,5,N2n4b
1,CV18,5,N5n7
1,CV05,5,N2n5d
1,CV02,5,N4n5b
1,CV06,6,N0n5d
1,CV05,6,N0n2e
1,CV17,6,N5n7
1,CV05,6,N1n2d
1,CV06,7,N0n5d
1,CV09,7,N5n6
1,CV05,7,N2n4b
1,CV06,7,N0n5
1,CV02,7,N3n5a
1,CV06,7,N0n6
1,CV06,7,N0n5
1,CV06,7,N0n1b
1,CV05,8,N1n2
1,CV06,8,N0n5
1,CV09,8,N5n6
1,CV09,8,N5n6
1,CV02,8,N2n4b
1,CV05,8,N3n4
1,CV09,8,N4n7
1,CV05,8,N2n5b
1,CV09,8,N5n6
1,CV03,8,N0n2c
1,CV06,9,N1n4a
1,CV05,9,N3n4
1,CV14,9,N0n5
1,CV14,9,N0n5
1,CV14,9,N0n5
1,CV14,9,N0n5
1,CV02,9,N1n2d
1,CV05,9,N2n4a
1,CV19,9,N5n7
1,CV14,9,N0n5
1,CV05,9,N2n4a
1,CV05,9,N2n4a
1,CV14,9,N0n5
1,CV08,9,N3n7
1,CV02,10,N4n4
1,CV05,10,N0n3d
1,CV14,10,N0n5d
1,CV19,10,N5n7
1,CV14,10,N0n5
1,CV14,10,N0n5
1,CV14,10,N0n5d
1,CV02,10,N0n5d
1,CV10,10,N4n6d
